Request: {}
Malicious: True
----------------------------------------
Request: {}
Malicious: True
----------------------------------------
2025-07-13 13:53:30,083 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=59cfc62ae843475eb73f196fb8c48f7a&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:30,087 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=59cfc62ae843475eb73f196fb8c48f7a&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:30,704 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/GLinkPingPost.aspx?IG=FAE54712E0FD430F994BA62AC0021055&ID=SERP,5200.2&url=https%3A%2F%2Fwww.bing.com%2Fck%2Fa%3F!%26%26p%3Ddaccb89ffb1f349c69aed0898c4f896548a5487812dd3750be5241a4532066b8JmltdHM9MTc1MjM2NDgwMA%26ptn%3D3%26ver%3D2%26hsh%3D4%26fclid%3D04489fbc-4a85-6fc6-0fe6-89a54b066ede%26psq%3Dgoogle%2Bmeet%26u%3Da1aHR0cHM6Ly9tZWV0Lmdvb2dsZS5jb20v%26ntb%3D1 | IP: 
2025-07-13 13:53:30,708 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/GLinkPingPost.aspx?IG=FAE54712E0FD430F994BA62AC0021055&ID=SERP,5200.2&url=https%3A%2F%2Fwww.bing.com%2Fck%2Fa%3F!%26%26p%3Ddaccb89ffb1f349c69aed0898c4f896548a5487812dd3750be5241a4532066b8JmltdHM9MTc1MjM2NDgwMA%26ptn%3D3%26ver%3D2%26hsh%3D4%26fclid%3D04489fbc-4a85-6fc6-0fe6-89a54b066ede%26psq%3Dgoogle%2Bmeet%26u%3Da1aHR0cHM6Ly9tZWV0Lmdvb2dsZS5jb20v%26ntb%3D1 | IP: 
2025-07-13 13:53:30,868 - INFO - Action: ALLOW | URL: https://www.bing.com/ck/a?!&&p=daccb89ffb1f349c69aed0898c4f896548a5487812dd3750be5241a4532066b8JmltdHM9MTc1MjM2NDgwMA&ptn=3&ver=2&hsh=4&fclid=04489fbc-4a85-6fc6-0fe6-89a54b066ede&psq=google+meet&u=a1aHR0cHM6Ly9tZWV0Lmdvb2dsZS5jb20v&ntb=1 | IP: 
2025-07-13 13:53:30,873 - INFO - Action: ALLOW | URL: https://www.bing.com/ck/a?!&&p=daccb89ffb1f349c69aed0898c4f896548a5487812dd3750be5241a4532066b8JmltdHM9MTc1MjM2NDgwMA&ptn=3&ver=2&hsh=4&fclid=04489fbc-4a85-6fc6-0fe6-89a54b066ede&psq=google+meet&u=a1aHR0cHM6Ly9tZWV0Lmdvb2dsZS5jb20v&ntb=1 | IP: 
2025-07-13 13:53:30,924 - INFO - Action: ALLOW | URL: https://www.bing.com/web/xlsc.aspx?dl=1&f=8 | IP: 
2025-07-13 13:53:30,937 - INFO - Action: ALLOW | URL: https://www.bing.com/web/xlsc.aspx?dl=1&f=8 | IP: 
2025-07-13 13:53:30,975 - INFO - Action: ALLOW | URL: https://www.bing.com/recoRS?&IG=FAE54712E0FD430F994BA62AC0021055&url=https://meet.google.com/&q=google+meet&iid=SERP.5710&boprs=google%20meet%20login,google%20meet%20japan,google%20meet%20pc,google.meet.com,google%20meet%20download,google%20meet%20jp | IP: 
2025-07-13 13:53:30,995 - INFO - Action: ALLOW | URL: https://www.bing.com/recoRS?&IG=FAE54712E0FD430F994BA62AC0021055&url=https://meet.google.com/&q=google+meet&iid=SERP.5710&boprs=google%20meet%20login,google%20meet%20japan,google%20meet%20pc,google.meet.com,google%20meet%20download,google%20meet%20jp | IP: 
2025-07-13 13:53:31,359 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=1b25ec539a37431784f0c4caf5aeb34e&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:31,365 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=1b25ec539a37431784f0c4caf5aeb34e&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:31,710 - WARNING - Action: BLOCK | URL: https://meet.google.com/ | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:31,719 - WARNING - Action: BLOCK | URL: https://meet.google.com/ | IP: 
2025-07-13 13:53:31,743 - WARNING - Action: BLOCK | URL: https://meet.google.com/meetsw.js_data?_reqid=50012&rt=j | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:31,754 - WARNING - Action: BLOCK | URL: https://meet.google.com/meetsw.js_data?_reqid=50012&rt=j | IP: 
2025-07-13 13:53:31,856 - WARNING - Action: BLOCK | URL: https://nav-edge.smartscreen.microsoft.com/api/browser/edge/navigate/3 | IP:  | Reason: XSS pattern in body
2025-07-13 13:53:31,870 - WARNING - Action: BLOCK | URL: https://nav-edge.smartscreen.microsoft.com/api/browser/edge/navigate/3 | IP: 
2025-07-13 13:53:31,913 - WARNING - Action: BLOCK | URL: https://meet.google.com/_/MeetingsUi/jserror?script=https%3A%2F%2Fmeet.google.com%2Fmeetsw.js%3FxhrRoot%3D%252F_%252FMeetingsDesktopUi%26mssRowKey%3Dboq-rtc.MeetingsDesktopUi.en.q5rC8JtKX7E.2020.O%26buildLabel%3Dboq_meetingsuiserver_20250704.08_p1&error=TransportError%3A%20Error%20code%20%3D%20403%2C%20Path%20%3D%20%2Fmeetsw.js_data%2C%20Message%20%3D%20There%20was%20an%20error%20during%20the%20transport%20or%20processing%20of%20this%20request.%2C%20undefined&line=Not%20available | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:31,926 - WARNING - Action: BLOCK | URL: https://meet.google.com/_/MeetingsUi/jserror?script=https%3A%2F%2Fmeet.google.com%2Fmeetsw.js%3FxhrRoot%3D%252F_%252FMeetingsDesktopUi%26mssRowKey%3Dboq-rtc.MeetingsDesktopUi.en.q5rC8JtKX7E.2020.O%26buildLabel%3Dboq_meetingsuiserver_20250704.08_p1&error=TransportError%3A%20Error%20code%20%3D%20403%2C%20Path%20%3D%20%2Fmeetsw.js_data%2C%20Message%20%3D%20There%20was%20an%20error%20during%20the%20transport%20or%20processing%20of%20this%20request.%2C%20undefined&line=Not%20available | IP: 
2025-07-13 13:53:32,000 - WARNING - Action: BLOCK | URL: https://meet.google.com/favicon.ico | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:32,054 - WARNING - Action: BLOCK | URL: https://meet.google.com/favicon.ico | IP: 
